filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
GIMO,GIMO,9/15/2014,2961747,534879,5.537228
GIMO,GIMO,8/29/2014,3321917,357511,9.291790
GIMO,GIMO,8/15/2014,3537009,460895,7.674219
GIMO,GIMO,7/31/2014,3553296,601185,5.910487
GIMO,GIMO,7/15/2014,3849899,1335049,2.883714
GIMO,GIMO,6/30/2014,2864230,550943,5.198777
GIMO,GIMO,6/13/2014,2513431,415038,6.055906
GIMO,GIMO,5/30/2014,2592114,466304,5.558850
GIMO,GIMO,5/15/2014,2551866,625248,4.081366
GIMO,GIMO,4/30/2014,1910588,1159359,1.647969
GIMO,GIMO,4/15/2014,1507718,1788572,1.000000
GIMO,GIMO,3/31/2014,1432612,241178,5.940061
GIMO,GIMO,3/14/2014,1351071,255308,5.291926
GIMO,GIMO,2/28/2014,1082783,264059,4.100534
GIMO,GIMO,2/14/2014,972113,414009,2.348048
GIMO,GIMO,1/31/2014,702785,405558,1.732884
GIMO,GIMO,1/15/2014,779503,242527,3.214088
GIMO,GIMO,12/31/2013,795305,200104,3.974458
GIMO,GIMO,12/13/2013,747788,303822,2.461270
GIMO,GIMO,11/29/2013,635677,255398,2.488966
GIMO,GIMO,11/15/2013,743852,588857,1.263213
GIMO,GIMO,10/31/2013,528503,918709,1.000000
GIMO,GIMO,10/15/2013,541415,187167,2.892684
